"trigger_API","trigger_package","API","package","related_package_version","error_type","error_description"
"pandas.pivot","pandas","pandas.pivot","pandas","[{""package"": ""pandas"", ""version"": ""0.23.4""}]","TypeError","TypeError: pivot_simple() got multiple values for argument 'index'"
"tqdm.notebook.tqdm","tqdm","tqdm.notebook.tqdm","tqdm","[{""package"": ""tqdm"", ""version"": ""4.60.0""}]","AttributeError","AttributeError: 'tqdm_notebook' object has no attribute 'disp'"
"sklearn.preprocessing.OrdinalEncoder","sklearn","sklearn.preprocessing.OrdinalEncoder","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.19.2""}]","ImportError","ImportError: cannot import name 'OrdinalEncoder' from 'sklearn.preprocessing'"
"sklearn.metrics.mean_squared_error","scikit-learn","sklearn.metrics.mean_squared_error","scikit-learn","[{""package"": ""scikit-learn"", ""version"": ""0.21.3""}]","TypeError","TypeError: mean_squared_error() got an unexpected keyword argument 'squared'"
"sklearn.metrics.mean_squared_error","scikit-learn","sklearn.metrics.mean_squared_error","scikit-learn","[{""package"": ""scikit-learn"", ""version"": ""0.20.3""}]","TypeError","TypeError: mean_squared_error() got an unexpected keyword argument 'squared'"
"sklearn.metrics.mean_squared_error","scikit-learn","sklearn.metrics.mean_squared_error","scikit-learn","[{""package"": ""scikit-learn"", ""version"": ""0.19.2""}]","TypeError","TypeError: mean_squared_error() got an unexpected keyword argument 'squared'"
"keras.utils.to_categorical","keras","keras.utils.to_categorical","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'to_categorical' from 'keras.utils'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend.tensorflow_backend.symbolic_fn_wrapper","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.backend.tensorflow_backend.symbolic_fn_wrapper","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.layers.convolutional.Conv1D","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"tensorflow.random.set_seed","tensorflow","tensorflow._api.v1.random.set_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.14.0""}]","AttributeError","AttributeError: module 'tensorflow._api.v1.random' has no attribute 'set_seed'"
"tensorflow._api.v1.random.set_seed","tensorflow","tensorflow._api.v1.random.set_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.13.1""}]","AttributeError","AttributeError: module 'tensorflow._api.v1.random' has no attribute 'set_seed'"
"statsmodels.tsa.statespace.sarimax.SARIMAX","statsmodels","pandas.Panel","pandas","[{""package"": ""statsmodels"", ""version"": ""0.9.0""}, {""package"": ""pandas"", ""version"": ""1.2.4""}]","AttributeError","AttributeError: module 'pandas' has no attribute 'Panel'"
"utils.DeepInsightTransformer","utils","utils.DeepInsightTransformer","utils","[{""package"": ""utils"", ""version"": ""1.0.1""}]","ImportError","ImportError: cannot import name 'DeepInsightTransformer' from 'utils'"
"category_encoders.CountEncoder","category_encoders","category_encoders.CountEncoder","category_encoders","[{""package"": ""category_encoders"", ""version"": ""1.3.0""}]","ImportError","ImportError: cannot import name 'CountEncoder' from 'category_encoders'"
"category_encoders.CountEncoder","category_encoders","category_encoders.CountEncoder","category_encoders","[{""package"": ""category_encoders"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'CountEncoder' from 'category_encoders'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.15.2""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""1.14.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"tensorflow_addons","tensorflow_addons","tensorflow.python.keras.engine.keras_tensor","tensorflow","[{""package"": ""tensorflow_addons"", ""version"": ""0.15.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'keras_tensor' from 'tensorflow.python.keras.engine'"
"tensorflow_addons","tensorflow_addons","tensorflow.python.keras.engine.keras_tensor","tensorflow","[{""package"": ""tensorflow_addons"", ""version"": ""0.15.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'keras_tensor' from 'tensorflow.python.keras.engine'"
"tensorflow.config.list_physical_devices","tensorflow","tensorflow._api.v1.config.list_physical_devices","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.14.0""}]","AttributeError","AttributeError: module 'tensorflow._api.v1.config' has no attribute 'list_physical_devices'"
"tensorflow.config","tensorflow","tensorflow.config","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.13.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'config'"
"tensorflow_addons.optimizers.RectifiedAdam","tensorflow_addons","tensorflow.python.keras.engine.keras_tensor","tensorflow","[{""package"": ""tensorflow_addons"", ""version"": ""0.15.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'keras_tensor' from 'tensorflow.python.keras.engine'"
"tensorflow_addons.optimizers.RectifiedAdam","tensorflow_addons","tensorflow.python.keras.engine.keras_tensor","tensorflow","[{""package"": ""tensorflow_addons"", ""version"": ""0.15.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'keras_tensor' from 'tensorflow.python.keras.engine'"
"keras.layers.Dense","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.layers.Dense","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.optimizers.SGD","keras","keras.optimizers.SGD","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'SGD' from 'keras.optimizers'"
"keras.engine.training.fit","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.optimizers.RMSprop","keras","keras.optimizers.RMSprop","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'keras.optimizers' has no attribute 'RMSprop'"
"keras.optimizers.Adam","keras","keras.optimizers.Adam","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'keras.optimizers' has no attribute 'Adam'"
"numpy.polyfit","numpy","numpy.polyfit","numpy","[{""package"": ""numpy"", ""version"": ""1.19.5""}]","TypeError","TypeError: expected non-empty vector for x"
"numpy.polyfit","numpy","numpy.polyfit","numpy","[{""package"": ""numpy"", ""version"": ""1.18.5""}]","TypeError","TypeError: expected non-empty vector for x"
"sklearn.metrics.confusion_matrix","sklearn","sklearn.metrics.plot_confusion_matrix","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.19.2""}]","ImportError","ImportError: cannot import name 'plot_confusion_matrix' from 'sklearn.metrics'"
"sklearn.metrics.plot_confusion_matrix","sklearn","sklearn.metrics.plot_confusion_matrix","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.19.2""}]","ImportError","ImportError: cannot import name 'plot_confusion_matrix' from 'sklearn.metrics'"
"sklearn.metrics.confusion_matrix","sklearn","sklearn.metrics.plot_confusion_matrix","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.20.3""}]","ImportError","ImportError: cannot import name 'plot_confusion_matrix' from 'sklearn.metrics'"
"sklearn.metrics.plot_confusion_matrix","sklearn","sklearn.metrics.plot_confusion_matrix","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.20.3""}]","ImportError","ImportError: cannot import name 'plot_confusion_matrix' from 'sklearn.metrics'"
"sklearn.metrics.confusion_matrix","sklearn","sklearn.metrics.plot_confusion_matrix","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.21.3""}]","ImportError","ImportError: cannot import name 'plot_confusion_matrix' from 'sklearn.metrics'"
"sklearn.metrics.plot_confusion_matrix","sklearn","sklearn.metrics.plot_confusion_matrix","sklearn","[{""package"": ""scikit-learn"", ""version"": ""0.21.3""}]","ImportError","ImportError: cannot import name 'plot_confusion_matrix' from 'sklearn.metrics'"
"pandas","pandas","pandas._libs.groupby","pandas","[{""package"": ""pandas"", ""version"": ""1.2.4""}]","ImportError","ImportError: DLL load failed: 应用程序无法启动，因为应用程序的并行配置不正确。有关详细信息，请参阅应用程序事件日志，或使用命令行 sxstrace.exe 工具。"
"CSV","pandas","pandas._libs.groupby","pandas","[{""package"": ""pandas"", ""version"": ""1.2.4""}]","ImportError","ImportError: DLL load failed: 应用程序无法启动，因为应用程序的并行配置不正确。有关详细信息，请参阅应用程序事件日志，或使用命令行 sxstrace.exe 工具。"
"tensorflow.keras.layers.Dense","tensorflow","tensorflow._api.v2.nn.gelu","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}, {""package"": ""tensorflow_addons"", ""version"": ""0.15.0""}]","AttributeError","AttributeError: module 'tensorflow._api.v2.nn' has no attribute 'gelu'"
"keras.layers.Input","keras","keras.layers.Input","keras","[{""package"": ""keras"", ""version"": ""2.3.1""}]","TypeError","TypeError: 'int' object is not iterable"
"keras.initializers.GlorotNormal","keras","keras.initializers.GlorotNormal","keras","[{""package"": ""keras"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'keras.initializers' has no attribute 'GlorotNormal'"
"transformers.(","transformers","transformers.EvalPrediction","transformers","[{""package"": ""transformers"", ""version"": ""2.3.0""}]","ImportError","ImportError: cannot import name 'EvalPrediction' from 'transformers'"
"transformers.(","transformers","transformers.EvalPrediction","transformers","[{""package"": ""transformers"", ""version"": ""2.1.1""}]","ImportError","ImportError: cannot import name 'EvalPrediction' from 'transformers'"
"transformers.","transformers","transformers.AutoModelForMaskedLM","transformers","[{""package"": ""transformers"", ""version"": ""2.3.0""}]","ImportError","ImportError: cannot import name 'AutoModelForMaskedLM' from 'transformers'"
"transformers.","transformers","transformers.get_cosine_schedule_with_warmup","transformers","[{""package"": ""transformers"", ""version"": ""2.1.1""}]","ImportError","ImportError: cannot import name 'get_cosine_schedule_with_warmup' from 'transformers'"
"transformers.get_cosine_schedule_with_warmup","transformers","transformers.get_cosine_schedule_with_warmup","transformers","[{""package"": ""transformers"", ""version"": ""2.1.1""}]","ImportError","ImportError: cannot import name 'get_cosine_schedule_with_warmup' from 'transformers'"
"seaborn","seaborn","scipy.linalg._flapack","scipy","[{""package"": ""seaborn"", ""version"": ""0.11.2""}, {""package"": ""scipy"", ""version"": ""1.7.3""}]","ImportError","ImportError: DLL load failed: 页面文件太小，无法完成操作。"
"tensorflow.keras.layers.experimental.preprocessing.TextVectorization","tensorflow","tensorflow.python.keras.api._v1.keras.layers.experimental","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.14.0""}]","AttributeError","AttributeError: module 'tensorflow.python.keras.api._v1.keras.layers' has no attribute 'experimental'"
"tensorflow._api.v1.keras.layers.experimental","tensorflow","tensorflow._api.v1.keras.layers.experimental","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.13.1""}]","AttributeError","AttributeError: module 'tensorflow._api.v1.keras.layers' has no attribute 'experimental'"
"nltk.corpus.stopwords.words","nltk","nltk.corpus.stopwords.words","nltk","[{""package"": ""nltk"", ""version"": ""3.6.2""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'vector_size'"
"gensim.models.KeyedVectors","gensim","._highs._highs_wrapper._highs_wrapper",,"[{""package"": ""gensim"", ""version"": ""3.7.1""}, {""package"": ""scipy"", ""version"": ""1.7.3""}]","ImportError","ImportError: DLL load failed: 应用程序无法启动，因为应用程序的并行配置不正确。有关详细信息，请参阅应用程序事件日志，或使用命令行 sxstrace.exe 工具。"
"umap.UMAP","umap","umap.UMAP","umap","[{""package"": ""umap"", ""version"": ""0.1.1""}]","ImportError","ImportError: cannot import name 'UMAP' from 'umap'"
"transformers.","transformers","transformers.get_constant_schedule_with_warmup","transformers","[{""package"": ""transformers"", ""version"": ""2.1.1""}]","ImportError","ImportError: cannot import name 'get_constant_schedule_with_warmup' from 'transformers'"
"transformers.RobertaTokenizerFast","transformers","transformers.RobertaTokenizerFast","transformers","[{""package"": ""transformers"", ""version"": ""2.3.0""}]","ImportError","ImportError: cannot import name 'RobertaTokenizerFast' from 'transformers'"
"transformers.","transformers","transformers.RobertaTokenizerFast","transformers","[{""package"": ""transformers"", ""version"": ""2.3.0""}]","ImportError","ImportError: cannot import name 'RobertaTokenizerFast' from 'transformers'"
"transformers.RobertaTokenizerFast","transformers","transformers.RobertaTokenizerFast","transformers","[{""package"": ""transformers"", ""version"": ""2.1.1""}]","ImportError","ImportError: cannot import name 'RobertaTokenizerFast' from 'transformers'"
"transformers.","transformers","transformers.RobertaTokenizerFast","transformers","[{""package"": ""transformers"", ""version"": ""2.1.1""}]","ImportError","ImportError: cannot import name 'RobertaTokenizerFast' from 'transformers'"
"tensorflow._api.v1.random.set_seed","tensorflow","tensorflow._api.v1.random.set_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""1.14.0""}]","AttributeError","AttributeError: module 'tensorflow._api.v1.random' has no attribute 'set_seed'"
"catboost.Pool","catboost","catboost.Pool","catboost","[{""package"": ""catboost"", ""version"": ""0.17.5""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'text_features'"
"catboost.Pool","catboost","catboost.Pool","catboost","[{""package"": ""catboost"", ""version"": ""0.16.5""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'text_features'"
"catboost.Pool","catboost","catboost.Pool","catboost","[{""package"": ""catboost"", ""version"": ""0.15.2""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'text_features'"
"catboost.Pool","catboost","catboost.Pool","catboost","[{""package"": ""catboost"", ""version"": ""0.12.2""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'text_features'"
"catboost.Pool","catboost","catboost.Pool","catboost","[{""package"": ""catboost"", ""version"": ""0.10.3""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'text_features'"
"transformers.AutoModel.from_pretrained","transformers","transformers.AutoModel.from_pretrained","transformers","[{""package"": ""transformers"", ""version"": ""2.3.0""}]","ValueError","ValueError: Can't find a vocabulary file at path 'C:\Users\Administrator\.cache\torch\transformers\e72340bed936b1ad6b5ac0fb7962338f94332b7bf345e560b609b783c9e4cd62'. To load the vocabulary from a Google pretrained model use `tokenizer = BertTokenizer.from_pretrained(PRETRAINED_MODEL_NAME)`"
"joblib.delayed","joblib","joblib.delayed","joblib","[{""package"": ""joblib"", ""version"": ""0.11""}]","AttributeError","AttributeError: Can't pickle local object 'preprocessor.<locals>.for_joblib'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.backend","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.6.0""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"pandas","pandas","pandas._libs.algos","pandas","[{""package"": ""pandas"", ""version"": ""1.2.4""}]","ImportError","ImportError: DLL load failed: 页面文件太小，无法完成操作。"
"pyarrow.parquet.read_table","pyarrow","pyarrow.parquet","pyarrow","[{""package"": ""pyarrow"", ""version"": ""5.0.0""}]","AttributeError","AttributeError: module 'pyarrow' has no attribute 'parquet'"
"keras.optimizers.RMSprop","keras","keras.optimizers.RMSprop","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'RMSprop' from 'keras.optimizers'"
"keras.applications.VGG16","keras","keras.applications.VGG16","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'keras.applications' has no attribute 'VGG16'"
"keras.optimizers.SGD","keras","keras.optimizers.SGD","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'keras.optimizers' has no attribute 'SGD'"
"keras.layers.Conv2D","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.layers.Conv2D","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.optimizers.SGD","keras","tensorflow.py_func","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'py_func'"
"keras.optimizers.SGD","keras","tensorflow.py_func","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'py_func'"
"keras.optimizers.SGD","keras","tensorflow.py_func","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.0.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'py_func'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.4.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.optimizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.2.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
"keras.regularizers","keras","tensorflow.python.eager.context.get_config","tensorflow","[{""package"": ""keras"", ""version"": ""2.7.0""}, {""package"": ""tensorflow"", ""version"": ""2.1.0""}]","ImportError","ImportError: cannot import name 'get_config' from 'tensorflow.python.eager.context'"
