"api","lib","label","num"
"albumentations.NoOp","albumentations","FE","2"
"albumentations.Normalize","albumentations","FE","433"
"albumentations.OneOf","albumentations","FE","104"
"albumentations.OpticalDistortion","albumentations","FE","27"
"albumentations.PadIfNeeded","albumentations","FE","7"
"albumentations.PiecewiseAffine","albumentations","FE","1"
"albumentations.pytorch.ToTensor","albumentations","FE","32"
"albumentations.pytorch.ToTensorV2","albumentations","FE","256"
"albumentations.pytorch.transforms.ToTensor","albumentations","FE","7"
"albumentations.pytorch.transforms.ToTensorV2","albumentations","FE","194"
"albumentations.RandomBrightness","albumentations","FE","65"
"albumentations.RandomBrightnessContrast","albumentations","FE","209"
"albumentations.RandomContrast","albumentations","FE","51"
"albumentations.RandomCrop","albumentations","FE","32"
"albumentations.RandomFog","albumentations","FE","8"
"albumentations.RandomGamma","albumentations","FE","30"
"albumentations.RandomGridShuffle","albumentations","FE","2"
"albumentations.RandomRain","albumentations","FE","1"
"albumentations.RandomResizedCrop","albumentations","FE","181"
"albumentations.RandomRotate90","albumentations","FE","40"
"albumentations.RandomScale","albumentations","FE","2"
"albumentations.RandomShadow","albumentations","FE","2"
"albumentations.RandomSizedBBoxSafeCrop","albumentations","FE","4"
"albumentations.RandomSizedCrop","albumentations","FE","29"
"albumentations.RandomSnow","albumentations","FE","7"
"albumentations.RandomSunFlare","albumentations","FE","10"
"albumentations.ReplayCompose","albumentations","FE","1"
"albumentations.Resize","albumentations","FE","417"
"albumentations.RGBShift","albumentations","FE","13"
"albumentations.Rotate","albumentations","FE","23"
"albumentations.Sharpen","albumentations","FE","1"
"albumentations.ShiftScaleRotate","albumentations","FE","247"
"albumentations.SmallestMaxSize","albumentations","FE","3"
"albumentations.ToFloat","albumentations","FE","4"
"albumentations.ToGray","albumentations","FE","30"
"albumentations.torch.ToTensor","albumentations","FE","27"
"albumentations.Transpose","albumentations","FE","168"
"albumentations.VerticalFlip","albumentations","FE","267"
"allennlp.commands.train.train_model_from_file","allennlp","MT","1"
"allennlp.data.DatasetReader.register","allennlp","DCO","1"
"allennlp.data.data_loaders.MultiProcessDataLoader","allennlp","DCO","1"
"allennlp.data.fields.ArrayField","allennlp","DC","1"
"allennlp.data.fields.LabelField","allennlp","DC","1"
"allennlp.data.fields.TextField","allennlp","DCO","2"
"allennlp.data.Instance","allennlp","DC","1"
"allennlp.data.instance.Instance","allennlp","DC","1"
"allennlp.data.tokenizers.token_class.Token","allennlp","DCL","1"
"allennlp.data.tokenizers.WhitespaceTokenizer","allennlp","DCL","1"
"allennlp.data.token_indexers.SingleIdTokenIndexer","allennlp","DCO","2"
"allennlp.data.Vocabulary.from_instances","allennlp","DCO","1"
"allennlp.models.archival.load_archive","allennlp","MT","1"
"allennlp.models.Model.register","allennlp","MT","1"
"allennlp.modules.seq2vec_encoders.LstmSeq2VecEncoder","allennlp","MT","1"
"allennlp.modules.text_field_embedders.BasicTextFieldEmbedder","allennlp","MT","1"
"allennlp.modules.token_embedders.Embedding","allennlp","MT","1"
"allennlp.modules.token_embedders.embedding._read_embeddings_from_text_file","allennlp","MT","1"
"allennlp.nn.util.get_text_field_mask","allennlp","MT","2"
"allennlp.predictors.Predictor.register","allennlp","MT","1"
"allennlp.training.metrics.CategoricalAccuracy","allennlp","MT","1"
"allennlp.training.optimizers.AdamOptimizer","allennlp","MT","1"
"allennlp.training.trainer.GradientDescentTrainer","allennlp","MT","1"
"apex.amp.initialize","apex","MT",
"apex.amp.master_params","apex","MT",
"apex.amp.scale_loss","apex","MT",
"apex.optimizers.FP16_Optimizer","apex","MT",
"apex.optimizers.FusedAdam","apex","MT",
"autogluon.core.metrics.make_scorer","autogluon","ME","1"
"autogluon.core.utils.loaders.load_pkl.load","autogluon","MT","1"
"autogluon.core.utils.savers.save_pkl.save","autogluon","MD","1"
"autogluon.core.utils.utils.setup_outputdir","autogluon","MD","1"
"autogluon.tabular.TabularDataset","autogluon","DCO","14"
"autogluon.tabular.TabularPredictor","autogluon","MT","22"
"autogluon.tabular.TabularPredictor.load","autogluon","MT","2"
"autogluon.TabularPrediction.Dataset","autogluon","DCO","1"
"autogluon.text.TextPredictor","autogluon","MT","1"
"autograd.grad","autograd","MT","1"
"autograd.numpy.append","autograd","DCL","1"
"autograd.numpy.array","autograd","DCL","1"
"autograd.numpy.clip","autograd","DCL","1"
"autograd.numpy.log","autograd","DCL","1"
"autograd.numpy.matmul","autograd","DCL","1"
"autograd.numpy.random.dirichlet","autograd","DCL","1"
"autograd.numpy.squeeze","autograd","DCL","1"
"autograd.numpy.stack","autograd","DCL","1"
"autograd.numpy.transpose","autograd","DCL","1"
"autograd.numpy.where","autograd","DCL","1"
"autokeras.AutoModel","autokeras","MT","1"
"autokeras.CategoricalToNumerical","autokeras","FE","1"
"autokeras.DenseBlock","autokeras","MT","1"
"autokeras.ImageClassifier","autokeras","MT","2"
"autokeras.RegressionHead","autokeras","MT","1"
"autokeras.StructuredDataInput","autokeras","DCO","1"
"autokeras.StructuredDataRegressor","autokeras","MT","3"
"autokeras.TextClassifier","autokeras","MT","1"
"autokeras.TextRegressor","autokeras","MT","2"
"autokeras.utils.pickle_from_file","autokeras","DCO","2"
"autoviml.Auto_NLP.Auto_NLP","autoviml","MT","1"
"autoviml.Auto_ViML.Auto_ViML","autoviml","MT","2"
"bayes_opt.BayesianOptimization","bayesian-optimization","MT","82"
"caffe.Classifier","caffe","MT",
"caffe.coord_map.crop","caffe","MT",
"caffe.get_solver","caffe","MT",
"caffe.io.blobproto_to_array","caffe","MT",
"caffe.io.load_image","caffe","MT",
"caffe.io.oversample","caffe","MT",
"caffe.io.Transformer","caffe","MT",
"caffe.layers.AbsVal","caffe","MT",
"caffe.layers.Accuracy","caffe","MT",
"caffe.layers.ArgMax","caffe","MT",
"caffe.layers.BatchNorm","caffe","MT",
"caffe.layers.BatchReindex","caffe","MT",
"caffe.layers.Bias","caffe","MT",
"caffe.layers.BNLL","caffe","MT",
"caffe.layers.Concat","caffe","MT",
"caffe.layers.Concat.to_proto.layer","caffe","MT",
"caffe.layers.ContrastiveLoss","caffe","MT",
"caffe.layers.Convolution","caffe","MT",
"caffe.layers.Correlation","caffe","MT",
"caffe.layers.Crop","caffe","MT",
"caffe.layers.CustomData","caffe","MT",
"caffe.layers.Data","caffe","MT",
"caffe.layers.DataAugmentation","caffe","MT",
"caffe.layers.Deconvolution","caffe","MT",
"caffe.layers.DetectionOutput.to_proto.layer","caffe","MT",
"caffe.layers.Downsample","caffe","MT",
"caffe.layers.Dropout","caffe","MT",
"caffe.layers.DummyData","caffe","MT",
"caffe.layers.Eltwise","caffe","MT",
"caffe.layers.ELU","caffe","MT",
"caffe.layers.Embed","caffe","MT",
"caffe.layers.EuclideanLoss","caffe","MT",
"caffe.layers.Exp","caffe","MT",
"caffe.layers.Filter","caffe","MT",
"caffe.layers.Flatten","caffe","MT",
"caffe.layers.Flatten.to_proto.layer","caffe","MT",
"caffe.layers.FlowAugmentation","caffe","MT",
"caffe.layers.GenerateAugmentationParameters","caffe","MT",
"caffe.layers.HDF5Data","caffe","MT",
"caffe.layers.HDF5Output","caffe","MT",
"caffe.layers.HingeLoss","caffe","MT",
"caffe.layers.ImageData","caffe","MT",
"caffe.layers.InfogainLoss","caffe","MT",
"caffe.layers.InnerProduct","caffe","MT",
"caffe.layers.Input","caffe","MT",
"caffe.layers.L1Loss","caffe","MT",
"caffe.layers.Layer","caffe","MT",
"caffe.layers.Log","caffe","MT",
"caffe.layers.LRN","caffe","MT",
"caffe.layers.LSTM","caffe","MT",
"caffe.layers.MemoryData","caffe","MT",
"caffe.layers.MultinomialLogisticLoss","caffe","MT",
"caffe.layers.MVN","caffe","MT",
"caffe.layers.Normalize.to_proto.layer","caffe","MT",
"caffe.layers.Permute","caffe","MT",
"caffe.layers.Pooling","caffe","MT",
"caffe.layers.Power","caffe","MT",
"caffe.layers.PReLU","caffe","MT",
"caffe.layers.PriorBox.to_proto.layer","caffe","MT",
"caffe.layers.Python","caffe","MT",
"caffe.layers.Recurrent","caffe","MT",
"caffe.layers.Reduction","caffe","MT",
"caffe.layers.ReLU","caffe","MT",
"caffe.layers.Reshape","caffe","MT",
"caffe.layers.Reshape.to_proto.layer","caffe","MT",
"caffe.layers.RNN","caffe","MT",
"caffe.layers.Scale","caffe","MT",
"caffe.layers.ShuffleChannel","caffe","MT",
"caffe.layers.Sigmoid","caffe","MT",
"caffe.layers.SigmoidCrossEntropyLoss","caffe","MT",
"caffe.layers.Silence","caffe","MT",
"caffe.layers.Slice","caffe","MT",
"caffe.layers.Softmax","caffe","MT",
"caffe.layers.Softmax.to_proto.layer","caffe","MT",
"caffe.layers.SoftmaxWithLoss","caffe","MT",
"caffe.layers.Split","caffe","MT",
"caffe.layers.SPP","caffe","MT",
"caffe.layers.TanH","caffe","MT",
"caffe.layers.Threshold","caffe","MT",
"caffe.layers.Warp","caffe","MT",
"caffe.layers.WindowData","caffe","MT",
"caffe.Net","caffe","MT",
"caffe.to_proto","caffe","MT",
"catalyst.contrib.criterion.DiceLoss","catalyst","MT",
"catalyst.contrib.criterion.FocalLossBinary","catalyst","MT",
"catalyst.contrib.criterion.IoULoss","catalyst","MT",
"catalyst.data.sampler.BalanceClassSampler","catalyst","FE","8"
"catalyst.data.sampler.DistributedSamplerWrapper","catalyst","FE","3"
"catalyst.dl.callbacks.CheckpointCallback","catalyst","MT",
"catalyst.dl.callbacks.DiceCallback","catalyst","MT",
"catalyst.dl.callbacks.EarlyStoppingCallback","catalyst","MT","1"
"catalyst.dl.callbacks.InferCallback","catalyst","MT","1"
"catalyst.dl.callbacks.metrics.AccuracyCallback","catalyst","MT",
"catalyst.dl.callbacks.metrics.AUCCallback","catalyst","MT",
"catalyst.dl.callbacks.OneCycleLR","catalyst","MT","1"
"catalyst.dl.CheckpointCallback","catalyst","MT","5"
"catalyst.dl.EarlyStoppingCallback","catalyst","MT","2"
"catalyst.dl.experiments.SupervisedRunner","catalyst","MT","1"
"catalyst.dl.runner.SupervisedRunner","catalyst","MT","1"
"catalyst.dl.SupervisedRunner","catalyst","MT","6"
"catalyst.dl.utils.plot_metrics","catalyst","ME",
"catalyst.dl.utils.UtilsFactory.plot_metrics","catalyst","MT","1"
"catalyst.metrics.AdditiveValueMetric","catalyst","ME","1"
"catalyst.utils.get_device","catalyst","MD","1"
"catalyst.utils.get_one_hot","catalyst","FE",
"catboost.CatBoost","catboost","MT","15"
"catboost.CatBoostClassifier","catboost","MT","354"
"catboost.CatBoostRegressor","catboost","MT","361"
"catboost.cv","catboost","MT","24"
"catboost.cv.split","catboost","MT","1"
"catboost.FeaturesData","catboost","FE","1"
"catboost.fit","catboost","MT","4"
"catboost.format","catboost","MT","2"
"catboost.get_feature_importance","catboost","FE","1"
"catboost.Pool","catboost","MT","163"
"catboost.predict","catboost","MT","3"
"catboost.predict_proba","catboost","MT","1"
"catboost.score","catboost","ME","1"
"catboost.to","catboost","MT","1"
"catboost.train","catboost","MT","6"
"catboost.utils.get_confusion_matrix","catboost","ME","2"
"catboost.utils.get_fnr_curve","catboost","ME","2"
"catboost.utils.get_fpr_curve","catboost","ME","2"
"catboost.utils.get_gpu_device_count","catboost","MD","3"
"catboost.utils.get_roc_curve","catboost","ME","2"
"category_encoders.binary.BinaryEncoder","category_encoders","FE","1"
"category_encoders.BinaryEncoder","category_encoders","FE","3"
"category_encoders.CatBoostEncoder","category_encoders","FE","11"
"category_encoders.cat_boost.CatBoostEncoder","category_encoders","FE","5"
"category_encoders.CountEncoder","category_encoders","FE","26"
"category_encoders.fit_transform","category_encoders","FE","1"
"category_encoders.glmm.GLMMEncoder","category_encoders","FE","2"
"category_encoders.hashing.HashingEncoder","category_encoders","FE","1"
"category_encoders.HashingEncoder","category_encoders","FE","5"
"category_encoders.HelmertEncoder","category_encoders","FE","1"
"category_encoders.james_stein.JamesSteinEncoder","category_encoders","FE","1"
"category_encoders.LeaveOneOutEncoder","category_encoders","FE","18"
"category_encoders.leave_one_out.LeaveOneOutEncoder","category_encoders","FE","1"
"category_encoders.MEstimateEncoder","category_encoders","FE","2"
"category_encoders.OneHotEncoder","category_encoders","FE","15"
"category_encoders.one_hot.OneHotEncoder","category_encoders","FE","5"
"category_encoders.ordinal.OrdinalEncoder","category_encoders","FE","23"
"category_encoders.OrdinalEncoder","category_encoders","FE","46"
"category_encoders.sum_coding.SumEncoder","category_encoders","FE","1"
"category_encoders.TargetEncoder","category_encoders","FE","66"
"category_encoders.target_encoder.TargetEncoder","category_encoders","FE","6"
"category_encoders.transform","category_encoders","FE","1"
"category_encoders.woe.WOEEncoder","category_encoders","FE","3"
"category_encoders.WOEEncoder","category_encoders","FE","10"
"chainer.ChainList","chainer","MR","1"
"chainer.cuda.cupy.random.seed","chainer","MT","1"
"chainer.cuda.get_device_from_id","chainer","MD","1"
"chainer.cuda.to_cpu","chainer","MD","6"
"chainer.dataset.concat_examples","chainer","DC","1"
"chainer.dataset.convert.to_device","chainer","DC","1"
"chainer.dataset.convert._concat_arrays","chainer","DC","1"
"chainer.dataset.to_device","chainer","DC","3"
"chainer.datasets.dict_dataset.DictDataset","chainer","DCO","4"
"chainer.datasets.LabeledImageDataset","chainer","DCO","1"
"chainer.datasets.split_dataset_random","chainer","DCO","3"
"chainer.datasets.TransformDataset","chainer","DCO","1"
"chainer.datasets.TupleDataset","chainer","DCO","5"
"chainer.functions.absolute","chainer","MT",
"chainer.functions.accuracy","chainer","ME","2"
"chainer.functions.average","chainer","MT","1"
"chainer.functions.broadcast","chainer","MT","1"
"chainer.functions.concat","chainer","MT","7"
"chainer.functions.dropout","chainer","MT","4"
"chainer.functions.expand_dims","chainer","MT","4"
"chainer.functions.leaky_relu","chainer","MT","4"
"chainer.functions.matmul","chainer","MT","1"
"chainer.functions.max","chainer","MT","1"
"chainer.functions.max_pooling_2d","chainer","MT","1"
"chainer.functions.mean_absolute_error","chainer","ME","4"
"chainer.functions.mean_squared_error","chainer","ME","1"
"chainer.functions.relu","chainer","MT","4"
"chainer.functions.softmax","chainer","MT","1"
"chainer.functions.softmax_cross_entropy","chainer","MT","2"
"chainer.functions.softplus","chainer","MT","3"
"chainer.functions.split_axis","chainer","MT","1"
"chainer.functions.sqrt","chainer","MT","1"
"chainer.functions.squeeze","chainer","MT","1"
"chainer.functions.sum","chainer","MT","1"
"chainer.functions.swapaxes","chainer","DCL","1"
"chainer.functions.transpose","chainer","DCL","1"
"chainer.get_device","chainer","MD","2"
"chainer.initializers.LeCunUniform","chainer","MR","1"
"chainer.iterators.MultiprocessIterator","chainer","DCO",
"chainer.iterators.SerialIterator","chainer","MT","10"
"chainer.links.BatchNormalization","chainer","FE","1"
"chainer.links.chainer.linksinear","chainer","MT","4"
"chainer.links.Classifier","chainer","MT","3"
"chainer.links.Convolution2D","chainer","MT","1"
"chainer.links.EmbedID","chainer","MT","3"
"chainer.links.Linear","chainer","MT","6"
"chainer.no_backprop_mode","chainer","MT","7"
"chainer.optimizer.WeightDecay","chainer","MT","1"
"chainer.optimizers.Adam","chainer","MT","8"
"chainer.optimizers.AdamW","chainer","MT",
"chainer.optimizers.SGD","chainer","MT","2"
"chainer.print_runtime_info","chainer","MT","2"
"chainer.report","chainer","ME","2"
"chainer.reporter.report","chainer","ME","5"
"chainer.reporter.report_scope","chainer","ME","5"
"chainer.Sequential","chainer","MT","1"
"chainer.serializers.load_npz","chainer","MT","2"
"chainer.serializers.save_npz","chainer","MD","2"
"chainer.training.extensions.Evaluator","chainer","MT","5"
"chainer.training.extensions.ExponentialShift","chainer","MT","4"
"chainer.training.extensions.LogReport","chainer","MT","9"
"chainer.training.extensions.observe_lr","chainer","MT",
"chainer.training.extensions.observe_value","chainer","MT","3"
"chainer.training.extensions.PlotReport","chainer","MT","2"
"chainer.training.extensions.PrintReport","chainer","MT","9"
"chainer.training.extensions.ProgressBar","chainer","MT","2"
"chainer.training.extensions.snapshot","chainer","MT","1"
"chainer.training.extensions.snapshot_object","chainer","MT",
"chainer.training.make_extension","chainer","MT","3"
"chainer.training.StandardUpdater","chainer","MT","9"
"chainer.training.Trainer","chainer","MT","9"
"chainer.training.trainer.Trainer","chainer","MT",
"chainer.training.triggers.EarlyStoppingTrigger","chainer","MT",
"chainer.training.triggers.MinValueTrigger","chainer","MT",
"chainer.using_config","chainer","MT","10"
"cleanlab.latent_estimation.calibrate_confident_joint","cleanlab","ME","2"
"cleanlab.pruning.keep_at_least_n_per_class","cleanlab","DCL","2"
"cleanlab.util.print_joint_matrix","cleanlab","ME","2"
"cudf.concat","cudf","DCL","15"
"cudf.DataFrame","cudf","DCL","123"
"cudf.DataFrame.from_pandas","cudf","DCO","3"
"cudf.DataFrame.to_pandas","cudf","DCO","1"
"cudf.from_pandas","cudf","DCO","12"
"cudf.get_dummies","cudf","FE","5"
"cudf.melt","cudf","DCL",
"cudf.merge","cudf","DCL","4"
"cudf.read_csv","cudf","DCO","61"
"cudf.read_parquet","cudf","DCO","12"
"cudf.Series","cudf","DCL","12"
"cugraph.centrality.betweenness_centrality.edge_betweenness_centrality","cugraph","MT","1"
"cuml.cluster.KMeans","cuml","MT","1"
"cuml.common.sparsefuncs.csr_row_normalize_l2","cuml","MT","2"
"cuml.decomposition.PCA","cuml","FE","2"
"cuml.ElasticNet","cuml","MT",
"cuml.ensemble.RandomForestClassifier","cuml","MT","4"
"cuml.ensemble.RandomForestRegressor","cuml","MT","7"
"cuml.experimental.preprocessing.StandardScaler","cuml","FE","2"
"cuml.feature_extraction.text.CountVectorizer","cuml","FE","1"
"cuml.feature_extraction.text.TfidfVectorizer","cuml","FE","84"
"cuml.KMeans","cuml","MT","2"
"cuml.linear_model.LinearRegression","cuml","MT","3"
"cuml.linear_model.LogisticRegression","cuml","MT","3"
"cuml.linear_model.Ridge","cuml","MT","3"
"cuml.LogisticRegression","cuml","MT","1"
"cuml.manifold.TSNE","cuml"," FE",
"cuml.manifold.UMAP","cuml","FE","1"
"cuml.metrics.accuracy_score","cuml","ME","2"
"cuml.metrics.log_loss","cuml","ME","1"
"cuml.metrics.mean_absolute_error","cuml","ME","1"
"cuml.metrics.mean_squared_error","cuml","ME","8"
"cuml.metrics.pairwise_distances","cuml","ME","1"
"cuml.metrics.regression.r2_score","cuml","ME","1"
"cuml.metrics.roc_auc_score","cuml","ME","6"
"cuml.NearestNeighbors","cuml","MT","1"
"cuml.neighbors.KNeighborsClassifier","cuml","MT","8"
"cuml.neighbors.KNeighborsRegressor","cuml","MT","5"
"cuml.neighbors.NearestNeighbors","cuml","MT","110"
"cuml.PCA","cuml","FE","5"
"cuml.preprocessing.LabelEncoder","cuml","FE","1"
"cuml.preprocessing.model_selection.train_test_split","cuml","DCO","2"
"cuml.preprocessing.TargetEncoder.TargetEncoder","cuml","FE","3"
"cuml.preprocessing.train_test_split","cuml","DCO","5"
"cuml.RandomForestClassifier","cuml","MT","1"
"cuml.RandomForestRegressor","cuml","MT",
"cuml.SVC","cuml","MT","1"
"cuml.svm.SVC","cuml","MT","3"
"cuml.svm.SVR","cuml","MT","3"
"cuml.SVR","cuml","MT","2"
"cuml.train_test_split","cuml","DCO","1"
"cuml.TSNE","cuml","FE","6"
"cuml.UMAP","cuml","FE","2"
"cupy.abs","cupy","DCL","2"
"cupy.absolute","cupy","DCL","1"
"cupy.arange","cupy","DCL","2"
"cupy.array","cupy","DCL","30"
"cupy.array_split","cupy","DCL","1"
"cupy.asanyarray","cupy","DCL","2"
"cupy.asarray","cupy","DCL","6"
"cupy.asnumpy","cupy","DCL","101"
"cupy.clip","cupy","DCL","1"
"cupy.cumsum","cupy","DCL","3"
"cupy.diff","cupy","DCL","1"
"cupy.fft.fft","cupy","MT",
"cupy.linalg.norm","cupy","DCL","3"
"cupy.linspace","cupy","DCL",
"cupy.load","cupy","DCO","1"
"cupy.log","cupy","DCL","2"
"cupy.log2","cupy","DCL",
"cupy.matmul","cupy","MT","89"
"cupy.maximum","cupy","DCL","1"
"cupy.mean","cupy","DCL","8"
"cupy.minimum","cupy","DCL","1"
"cupy.percentile","cupy","DCL","2"
"cupy.power","cupy","DCL","2"
"cupy.random.seed","cupy","DCL","1"
"cupy.random.shuffle","cupy","DCO","1"
"cupy.round","cupy","DCL","1"
"cupy.save","cupy","MD","5"
"cupy.sparse.csr_matrix","cupy","DCL","1"
"cupy.sqrt","cupy","DCL","9"
"cupy.square","cupy","DCL","5"
"cupy.sum","cupy","DCL","4"
"cupy.var","cupy","DCL","1"
"cupy.where","cupy","DCL","94"
"cupy.zeros","cupy","DCL","12"
"cv2.adaptiveThreshold","opencv-python","DCL","3"
"cv2.add","opencv-python","FE","20"
"cv2.addWeighted","opencv-python","FE","137"
"cv2.applyColorMap","opencv-python","DCL","6"
"cv2.approxPolyDP","opencv-python","DCL","2"
"cv2.arcLength","opencv-python","DCL","5"
"cv2.bilateralFilter","opencv-python","FE","4"
"cv2.bitwise_and","opencv-python","FE","56"
"cv2.bitwise_not","opencv-python","FE","20"
"cv2.bitwise_or","opencv-python","FE","1"
"cv2.blur","opencv-python","FE","36"
"cv2.boundingRect","opencv-python","DCL","60"
"cv2.boxPoints","opencv-python","DCL","1"
"cv2.calcHist","opencv-python","DCL","3"
"cv2.calcOpticalFlowFarneback","opencv-python","MT","2"
"cv2.Canny","opencv-python","DCL","15"
"cv2.cartToPolar","opencv-python","DCL","1"
"cv2.CascadeClassifier","opencv-python","DCO","12"
"cv2.circle","opencv-python","DCL","57"
"cv2.connectedComponents","opencv-python","FE","37"
"cv2.connectedComponentsWithStats","opencv-python","DCL","8"
"cv2.contourArea","opencv-python","DCL","9"
"cv2.convexHull","opencv-python","DCL","1"
"cv2.copyMakeBorder","opencv-python","FE","81"
"cv2.countNonZero","opencv-python","DCL","2"
"cv2.createCLAHE","opencv-python","DCL","27"
"cv2.cv2.medianBlur","opencv-python","DCL","4"
"cv2.cvtColor","opencv-python","FE","1135"
"cv2.destroyAllWindows","opencv-python","MD","4"
"cv2.dft","opencv-python","DCL","1"
"cv2.dilate","opencv-python","DCL","8"
"cv2.dnn.blobFromImage","opencv-python","DCO","8"
"cv2.dnn.NMSBoxes","opencv-python","MT","6"
"cv2.dnn.readNet","opencv-python","MT","3"
"cv2.dnn.readNetFromCaffe","opencv-python","MT","2"
"cv2.dnn.readNetFromDarknet","opencv-python","MT","4"
"cv2.dnn_DetectionModel","opencv-python","MT","1"
"cv2.drawContours","opencv-python","DCL","19"
"cv2.drawKeypoints","opencv-python","DCL","1"
"cv2.equalizeHist","opencv-python","DCL","11"
"cv2.erode","opencv-python","DCL","9"
"cv2.FastFeatureDetector_create","opencv-python","DCL","1"
"cv2.fastNlMeansDenoising","opencv-python","DCL","1"
"cv2.fastNlMeansDenoisingColored","opencv-python","DCL","4"
"cv2.fillConvexPoly","opencv-python","DCL","2"
"cv2.fillPoly","opencv-python","DCL","4"
"cv2.filter2D","opencv-python","DCL","6"
"cv2.findContours","opencv-python","FE","89"
"cv2.flip","opencv-python","FE","42"
"cv2.GaussianBlur","opencv-python","FE","137"
"cv2.getAffineTransform","opencv-python","MT","2"
"cv2.getPerspectiveTransform","opencv-python","DCL","3"
"cv2.getRotationMatrix2D","opencv-python","FE","41"
"cv2.getStructuringElement","opencv-python","DCL","13"
"cv2.getTextSize","opencv-python","DCL","17"
"cv2.grabCut","opencv-python","DCL","1"
"cv2.HoughCircles","opencv-python","MT","3"
"cv2.HuMoments","opencv-python","DCL","5"
"cv2.imdecode","opencv-python","MT","7"
"cv2.imencode","opencv-python","MT","23"
"cv2.imread","opencv-python","DC","1582"
"cv2.imshow","opencv-python","MD","6"
"cv2.imwrite","opencv-python","DCO","94"
"cv2.inpaint","opencv-python","DCL","4"
"cv2.inRange","opencv-python","DCL","2"
"cv2.kmeans","opencv-python","MT","4"
"cv2.Laplacian","opencv-python","DCL","8"
"cv2.line","opencv-python","DCL","66"
"cv2.LUT","opencv-python","DCL","12"
"cv2.magnitude","opencv-python","DCL","1"
"cv2.matchTemplate","opencv-python","MT","2"
"cv2.mean","opencv-python","DCL","4"
"cv2.meanStdDev","opencv-python","ME",
"cv2.medianBlur","opencv-python","FE","22"
"cv2.merge","opencv-python","DCL","39"
"cv2.minAreaRect","opencv-python","DCL","1"
"cv2.minEnclosingCircle","opencv-python","DCL","1"
"cv2.minMaxLoc","opencv-python","DCL","2"
"cv2.ml.KNearest_create","opencv-python","MT","1"
"cv2.moments","opencv-python","DCL","10"
"cv2.morphologyEx","opencv-python","FE","13"
"cv2.multiply","opencv-python","FE","5"
"cv2.namedWindow","opencv-python","FE","4"
"cv2.normalize","opencv-python","FE","6"
"cv2.ocl.setUseOpenCL","opencv-python","MD","1"
"cv2.ORB_create","opencv-python","MT","2"
"cv2.polylines","opencv-python","DCL","9"
"cv2.putText","opencv-python","DCO","82"
